date;stock_fin_de_journee;source;pits
2017-04-29;5328.01692;Storengy;Saline
2011-04-18;7054.783339;Storengy;Saline
2017-04-30;5343.45696;Storengy;Saline
2011-04-21;7143.263152;Storengy;Saline
2017-05-01;5360.30064;Storengy;Saline
2011-04-22;7194.391317;Storengy;Saline
2017-05-14;5583.17862;Storengy;Saline
2011-05-01;7668.523033;Storengy;Saline
2017-05-18;5732.3655;Storengy;Saline
2011-05-06;7710.722665;Storengy;Saline
2017-05-21;5836.73616;Storengy;Saline
2011-05-07;7738.429383;Storengy;Saline
2017-05-28;5989.83318;Storengy;Saline
2011-05-10;7858.832993;Storengy;Saline
2017-06-02;6145.03566;Storengy;Saline
2011-05-20;8232.79399;Storengy;Saline
2017-06-16;6748.30008;Storengy;Saline
2011-05-23;8253.210663;Storengy;Saline
2017-06-28;7112.9457;Storengy;Saline
2011-05-28;8323.495958;Storengy;Saline
2017-07-04;7296.82254;Storengy;Saline
2011-05-29;8368.05378;Storengy;Saline
2017-07-05;7319.68182;Storengy;Saline
2011-05-30;8411.589418;Storengy;Saline
2017-07-10;7428.96522;Storengy;Saline
2011-06-04;8625.992778;Storengy;Saline
2017-07-16;7630.38756;Storengy;Saline
2011-06-05;8667.633463;Storengy;Saline
2017-07-20;7745.88708;Storengy;Saline
2011-06-11;8857.480581;Storengy;Saline
2017-07-24;7866.3996;Storengy;Saline
2011-06-14;8948.370151;Storengy;Saline
2017-07-25;7881.33834;Storengy;Saline
2011-06-19;9020.224343;Storengy;Saline
2017-08-05;8237.66238;Storengy;Saline
2011-06-25;9055.061238;Storengy;Saline
2017-08-13;8538.44238;Storengy;Saline
2011-07-06;9291.916735;Storengy;Saline
2017-08-22;8766.93492;Storengy;Saline
2011-07-07;9315.031944;Storengy;Saline
2017-08-24;8814.05712;Storengy;Saline
2011-07-12;9345.322629;Storengy;Saline
2017-08-29;8964.54738;Storengy;Saline
2011-07-13;9348.040302;Storengy;Saline
2017-09-02;9074.43234;Storengy;Saline
2011-07-20;9368.150039;Storengy;Saline
2017-09-04;9101.80332;Storengy;Saline
2011-07-27;9577.281766;Storengy;Saline
2017-09-08;9162.7614;Storengy;Saline
2011-07-29;9649.225357;Storengy;Saline
2017-09-11;9216.30024;Storengy;Saline
2011-08-02;9803.345429;Storengy;Saline
2017-09-15;9282.47184;Storengy;Saline
2011-08-08;10013.35106;Storengy;Saline
2017-09-17;9314.95608;Storengy;Saline
2011-08-27;10268.29468;Storengy;Saline
2017-09-28;9444.59226;Storengy;Saline
2011-08-31;10277.17542;Storengy;Saline
2017-09-30;9459.0297;Storengy;Saline
2011-09-09;10307.50461;Storengy;Saline
2017-10-08;9676.0926;Storengy;Saline
2011-09-14;10366.06295;Storengy;Saline
2017-10-19;9783.67158;Storengy;Saline
2011-09-17;10380.49207;Storengy;Saline
2017-11-01;9711.38412;Storengy;Saline
2011-09-24;10401.70273;Storengy;Saline
2017-11-02;9707.57424;Storengy;Saline
2011-10-04;10416.97639;Storengy;Saline
2017-11-05;9706.47138;Storengy;Saline
2011-10-07;10418.93308;Storengy;Saline
2017-11-07;9703.56384;Storengy;Saline
2011-10-17;10400.52809;Storengy;Saline
2017-11-09;9702.26046;Storengy;Saline
2011-10-21;10333.24732;Storengy;Saline
2017-11-12;9701.1576;Storengy;Saline
2011-10-23;10293.9389;Storengy;Saline
2017-11-15;9551.7702;Storengy;Saline
2011-10-25;10274.25515;Storengy;Saline
2017-12-03;9562.39776;Storengy;Saline
2011-10-29;10276.08084;Storengy;Saline
2017-12-05;9473.16636;Storengy;Saline
2011-11-04;10318.95499;Storengy;Saline
2017-12-09;9274.5513;Storengy;Saline
2011-11-05;10317.84443;Storengy;Saline
2017-12-10;9270.34038;Storengy;Saline
2011-11-15;10377.77101;Storengy;Saline
2017-12-18;9358.46892;Storengy;Saline
2011-11-16;10376.65879;Storengy;Saline
2017-12-31;9426.4452;Storengy;Saline
2011-11-18;10374.41029;Storengy;Saline
2010-11-02;12150.36038;Storengy;Sediane
2011-11-20;10372.19243;Storengy;Saline
2010-11-03;12213.95413;Storengy;Sediane
2011-11-21;10370.54276;Storengy;Saline
2010-11-06;12387.45252;Storengy;Sediane
2011-11-23;10368.76068;Storengy;Saline
2010-11-11;12167.20849;Storengy;Sediane
2011-12-02;10252.45837;Storengy;Saline
2010-11-13;12030.4042;Storengy;Sediane
2011-12-17;10055.7273;Storengy;Saline
2010-11-22;10721.8773;Storengy;Sediane
2011-12-19;9826.319627;Storengy;Saline
2010-11-26;10068.13603;Storengy;Sediane
2011-12-23;9687.312998;Storengy;Saline
2010-11-29;9768.026808;Storengy;Sediane
2011-12-30;9580.219347;Storengy;Saline
2010-12-03;8837.608622;Storengy;Sediane
2011-12-31;9576.077911;Storengy;Saline
2010-12-08;8153.203731;Storengy;Sediane
2012-01-02;9591.384986;Storengy;Saline
2010-12-14;7788.202672;Storengy;Sediane
2012-01-03;9585.033226;Storengy;Saline
2010-12-18;7608.437091;Storengy;Sediane
2012-01-04;9581.1892;Storengy;Saline
2010-12-26;7273.462574;Storengy;Sediane
2012-01-05;9573.241121;Storengy;Saline
2010-12-31;6920.088986;Storengy;Sediane
2012-01-07;9554.033946;Storengy;Saline
2011-01-01;6793.90134;Storengy;Sediane
2012-01-15;9241.423266;Storengy;Saline
2011-01-05;6130.024889;Storengy;Sediane
2012-01-18;8783.441167;Storengy;Saline
2011-01-12;5908.613431;Storengy;Sediane
2012-01-20;8622.548854;Storengy;Saline
2011-01-13;5892.874059;Storengy;Sediane
